,Date,User,Tweet,Hashtags,Location
2514,2022-10-14 14:48:43+00:00,NevadaCCB,"Due to a statewide IT outage, the CCB website is currently unavailable. Applications for consumption lounges can still be accessed through Accela beginning at 8 a.m. 10/14.

https://t.co/wRLjv94DIe",,Nevada
2515,2022-10-14 14:48:43+00:00,NewJerseyCRC,"The NJ-CRC is honored to have joined Newark Pride on #NationalComingOutDay to educate Newark residents about our work, social equity, and workforce opportunities for members of the LGBTQIA+ community. https://t.co/SjFJiM7a0N",['NationalComingOutDay'],
2516,2022-10-14 14:48:36+00:00,GroWeedEveryday,Now get out there and arrest people for growing their own #cannabis. #flmmj https://t.co/pLRBomiIqv,"['cannabis', 'flmmj']",The Land of Prohibition
2517,2022-10-14 14:48:21+00:00,aacparty,There is a case for legalization and there is legislation. Nigerians need to understand the difference.  We are proud that we are leading this conversation. https://t.co/Yw1845pH2d,,
2518,2022-10-14 14:48:17+00:00,FloydsPullman,"FUEGO FRIDAY! : HAPPY HAPPY FRIDAY! We have 25% Off Freddy's Fuego, Cake Cannabis and Fire Ass Mids!!! Come say HIGH! https://t.co/r4BaVvs7w8",,"Pullman, WA"
2519,2022-10-14 14:48:06+00:00,UniterOne01,"And the democrats accuse White Supremacists of being the domestic terrorists.

Didn’t Mayor Adams just hire the same director of *cannabis from Portland to spearhead the NYC *cannabis industry?

Wonder why she left Portland? https://t.co/Xnohrg2PaW",,
2520,2022-10-14 14:48:05+00:00,blakeFTM_,He can’t afford the Canadian loud 😂 https://t.co/z25T6oV7sn,,"Ogogoro Village, Nigeria"
2521,2022-10-14 14:47:38+00:00,Tvchukwu,Not this mad woman really speaking on cannabis 🤣🤣🤣,,"Lagos, Nigeria"
2522,2022-10-14 14:47:37+00:00,Nuel_KNG,"Gbam! Valid points by Kemi Olunoyo

Legalizing cannabis in Nigeria is a big trap.",,Loading...
2523,2022-10-14 14:47:33+00:00,Cannabis_Candi,"Also fuck you universe for cancelling my therapy session

Cuz I deffffffffffffffffff didn’t need it 🙃",,Eric Formans Basement
2524,2022-10-14 14:47:31+00:00,CannabisBizNews,"Kamala Harris Backs Biden's Cannabis Pardons, Air Force Changes THC Testing Policy, and the DEA's Da... https://t.co/sj7QnYlF6a #cannabis",['cannabis'],United States
