Date,User,Tweet,Hashtags,Location,Mentioned User,Key Word,Reply Count,like Count,Retwet Count,Followers Count
2022-08-19 17:30:33+00:00,LAPDCARRANZA,"While most slept, #GND Detectives #LAIMPACT worked long hours to dismantle an illicit THC Lab @LAPDHollenbeck perfect combination for an explosion in a #Residential #commercial area. 1 arrested for murder 2 for operating illegal lab. Saving lives &amp; preventing crime. #RELENTLESS https://t.co/HF3bSMTsCj","['GND', 'LAIMPACT', 'Residential', 'commercial', 'RELENTLESS']","Los Angeles, CA","[User(username='LAPDHollenbeck', id=562241469, displayname='LAPD Hollenbeck', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",THC,14,100,27,8376
2022-08-18 21:47:05+00:00,ActualWolf,PEOPLE ARE ALWAYS GOING ON ABOUT HOW THEY PREFER SATIVA OR INDICA BUT THEY REALLY LACK A BASIC UNDERSTANDING OF THE EFFECTS OF BOTH AND ARE OFTEN EXPLAINING SATIVA DOMINANT SMOKE WHEN THEY THINK THEY ARE TALKING INDICA AND REALLY MOST THC FLOWER SOLD ARE SATIVA DOMINANT HYBRIDS https://t.co/7HbXIuPCtt,,"Southern OR, NorCal",,THC,1,7,0,2953
2022-08-18 13:29:13+00:00,kell2humble,I’m not into THC infused full course meals lol Ima stick to the gummies,,"Atlanta, GA",,THC,2,4,0,1783
2022-08-18 03:30:18+00:00,ActualWolf,"Ok @PioneerPress @StarTribune @RacketMN @duluthnews 

Here’s my pitch…

Take one of your reporters (and a driver) &amp; assign them a day with me.

We will document daily activities on THC Edibles to celebrate/normalize consumption of fun within the state!",,"Southern OR, NorCal","[User(username='PioneerPress', id=15926431, displayname='Pioneer Press', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='StarTribune', id=17348525, displayname='Star Tribune', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RacketMN', id=1369374051421073409, displayname='Racket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='duluthnews', id=15427561, displayname='Duluth News Tribune', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",THC,0,4,0,2953
2022-08-17 21:36:48+00:00,SuburbanLife420,Im about to smoke .5 grams of an infused pre roll that is 89.9% THC hope it knocks my socks off!,,"Lawrence, Ma ",,THC,4,14,1,514
2022-08-17 20:57:00+00:00,ShannonBrayNC,"My wife flew to SF last week with her mom, aunt, and sisters and brought back covid.

It is time to prove, once again, that THC is a covid blocker.",,"North Carolina, USA",,THC,8,40,5,64997
2022-08-17 19:51:40+00:00,HoneyroseUSA,"#Honeyrose #Cherry #Herbal Cigarettes Are Here To Help Real Smokers #QuitSmoking! Our classic all natural herbal blend is perfect for those wanting to stop smoking with an addition of cherry flavoring.

DOES NOT CONTAIN NICOTINE, TOBACCO, HEMP, THC, OR CBD. https://t.co/QTrCZ9Iene","['Honeyrose', 'Cherry', 'Herbal', 'QuitSmoking']",United States,,THC,0,3,0,125
2022-08-17 16:19:10+00:00,drinktinleys,Add some THC for you and me!🍹😋🌱 Elevate your good times with non-alcoholic ‘27 Cask Elixir™ $TNY $TNYBF #msogang #potstocks #infused https://t.co/mWXpIOke3A,"['msogang', 'potstocks', 'infused']","Long Beach, CA",,THC,1,19,1,2552
2022-08-17 14:47:14+00:00,msmastafoxx,"Mark your calendar 📆 — Don't miss @MsMastaFoXX &amp; @MsWhizdom next Live ""Do You Notice The Serendipities In Your Life? #THCTribe #NeoCodeSociety"" On Stereo App @app_stereo on Aug 17, 3:33PM (PST) #THC #TribeOfHigherConsciousness #Wednesday #5DEye https://t.co/RRjhRD5tJS","['THCTribe', 'NeoCodeSociety', 'THC', 'TribeOfHigherConsciousness', 'Wednesday', '5DEye']",MyCreatorLife,"[User(username='msmastafoxx', id=1471098570, displayname='MsMastaFoXX LLC♌👽🖖🌋🕉🔑7-FigBizOwner💰👑🌊💜☯️', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mswhizdom', id=2305685372, displayname='Ms Whizdom 👽♒👽', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='app_stereo', id=1217236670312931329, displayname='Stereo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",THC,0,2,0,1411
2022-08-16 18:41:56+00:00,JennaGeiser,"just got home from our first completely sober camping trip ⛺️🌲🚐💙 

no thc or alcohol, just the beautiful outdoors ❤️",,"Arizona, USA",,THC,0,20,1,638
2022-08-16 15:41:18+00:00,AlBJam,"A full days supply of THC!

https://t.co/LCAXOuwlMx",,Top of the Boot,,THC,0,4,0,1139
2022-08-15 22:35:05+00:00,Jeremy_Danner,Gatorade + THC drops https://t.co/ZUXdYoCrzO,,Kansas City,,THC,0,10,0,19733
